,rmse_db,rmse_db,mae_db,mae_db,nmse,nmse,time_sec,time_sec,sample_count,sample_count
,mean,std,mean,std,mean,std,mean,std,mean,std
ratio,,,,,,,,,,
0.005,5.5421,1.141,2.7553,0.7146,0.0262,0.0115,1.7557,0.4849,251.3333,29.189
0.01,4.9121,0.9572,2.0936,0.5445,0.0205,0.0093,2.2679,0.5448,502.1333,58.4274
0.02,4.4624,0.9439,1.6376,0.457,0.017,0.0078,3.1529,0.7458,1004.0667,116.88
