,rmse_db,rmse_db,mae_db,mae_db,nmse,nmse,time_sec,time_sec,sample_count,sample_count
,mean,std,mean,std,mean,std,mean,std,mean,std
ratio,,,,,,,,,,
0.001,7.3168,1.5209,4.5848,1.233,0.0442,0.0264,0.4271,0.0683,51.3143,6.191
