sample_id,map_id,tx_id,ratio,sample_count,nmse,rmse_db,mae_db,time_sec,fig_path
s007_tx00,7,0,0.005,219,0.040943316995203864,7.1304326037240635,3.984605724629229,0.8104842000002463,kriging_results\s007_tx00\map7_tx0_ratio0_0050.png
s007_tx00,7,0,0.01,438,0.042003707509161055,7.222177822422672,3.520158001061896,1.1874127999999473,kriging_results\s007_tx00\map7_tx0_ratio0_0100.png
s007_tx00,7,0,0.02,875,0.030620794703333336,6.16641282378629,2.6272911594501136,1.8495908999993844,kriging_results\s007_tx00\map7_tx0_ratio0_0200.png
s007_tx06,7,6,0.005,219,0.05162154691900616,5.926939799230165,3.4642778521180806,0.8864911999999094,kriging_results\s007_tx06\map7_tx6_ratio0_0050.png
s007_tx06,7,6,0.01,438,0.04673969570506069,5.639725317954281,3.0320796797313054,1.2423641999994288,kriging_results\s007_tx06\map7_tx6_ratio0_0100.png
s007_tx06,7,6,0.02,875,0.034844798374210256,4.869495727112108,2.279009129684398,1.7873367000001963,kriging_results\s007_tx06\map7_tx6_ratio0_0200.png
s007_tx07,7,7,0.005,219,0.04694422672361772,7.256175116847341,3.9509276663301804,0.841641900000468,kriging_results\s007_tx07\map7_tx7_ratio0_0050.png
s007_tx07,7,7,0.01,438,0.046088007957780855,7.189697831524522,3.556976052635631,1.2024270000001707,kriging_results\s007_tx07\map7_tx7_ratio0_0100.png
s007_tx07,7,7,0.02,875,0.035666784824479866,6.3248268654101985,2.6566394578394243,1.8056333000004088,kriging_results\s007_tx07\map7_tx7_ratio0_0200.png
s007_tx13,7,13,0.005,219,0.05561907920950378,7.41802082378627,4.038107892946145,0.8209081000004517,kriging_results\s007_tx13\map7_tx13_ratio0_0050.png
s007_tx13,7,13,0.01,438,0.045961405057327154,6.7433048489818725,3.125366303234191,1.294750799999747,kriging_results\s007_tx13\map7_tx13_ratio0_0100.png
s007_tx13,7,13,0.02,875,0.041785979587719894,6.429710852479214,2.61292716709197,1.8175373000003674,kriging_results\s007_tx13\map7_tx13_ratio0_0200.png
s007_tx20,7,20,0.005,219,0.05793237570576093,6.464872308379073,3.5787563467043206,0.7980018999996901,kriging_results\s007_tx20\map7_tx20_ratio0_0050.png
s007_tx20,7,20,0.01,438,0.05373333592995978,6.226173114971367,3.1107440917778924,1.1993216000000757,kriging_results\s007_tx20\map7_tx20_ratio0_0100.png
s007_tx20,7,20,0.02,875,0.038901883905645175,5.297666385269687,2.268646270592833,1.8215394999997443,kriging_results\s007_tx20\map7_tx20_ratio0_0200.png
s007_tx24,7,24,0.005,219,0.05242160579500351,6.689712502744174,3.7613316803592665,1.5616718999999648,kriging_results\s007_tx24\map7_tx24_ratio0_0050.png
s007_tx24,7,24,0.01,438,0.0490305257417022,6.469721206340696,3.1898476696258666,2.34834359999968,kriging_results\s007_tx24\map7_tx24_ratio0_0100.png
s007_tx24,7,24,0.02,875,0.04163094773661404,5.961567171027414,2.5350817962308705,3.0284427000005962,kriging_results\s007_tx24\map7_tx24_ratio0_0200.png
s007_tx28,7,28,0.005,219,0.05514306756462491,7.0378459525480785,4.046849876107901,1.7626399000000674,kriging_results\s007_tx28\map7_tx28_ratio0_0050.png
s007_tx28,7,28,0.01,438,0.047917135994594594,6.560541990076962,3.2131036136597886,2.7658340999996653,kriging_results\s007_tx28\map7_tx28_ratio0_0100.png
s007_tx28,7,28,0.02,875,0.04484155224837799,6.346504784315191,2.7229559244448303,2.7767292999997153,kriging_results\s007_tx28\map7_tx28_ratio0_0200.png
s007_tx36,7,36,0.005,219,0.05099905164458706,6.778068481457304,3.7521238416008056,1.929250499999398,kriging_results\s007_tx36\map7_tx36_ratio0_0050.png
s007_tx36,7,36,0.01,438,0.05265047812402594,6.886936238950918,3.35686818976739,2.873643599999923,kriging_results\s007_tx36\map7_tx36_ratio0_0100.png
