sample_id,map_id,tx_id,ratio,sample_count,nmse,rmse_db,mae_db,time_sec,fig_path
s103_tx76,103,76,0.001,55,0.011179832369808799,4.876873560860593,2.500023761332401,0.4291504000002533,kriging_results_of_train\s103_tx76\map103_tx76_ratio0_0010.png
s106_tx02,106,2,0.001,44,0.03566309640356695,7.74856549419095,4.768942704738662,0.3318727999994735,kriging_results_of_train\s106_tx02\map106_tx2_ratio0_0010.png
s106_tx06,106,6,0.001,44,0.035814737101454316,7.296465425851076,4.7064439911275056,0.33740099999977247,kriging_results_of_train\s106_tx06\map106_tx6_ratio0_0010.png
s106_tx09,106,9,0.001,44,0.03609167453738428,6.608666281410829,3.824809912769365,0.3151783000002979,kriging_results_of_train\s106_tx09\map106_tx9_ratio0_0010.png
s106_tx12,106,12,0.001,44,0.034435014816683096,6.864511979602196,4.282486944589128,0.3518887000000177,kriging_results_of_train\s106_tx12\map106_tx12_ratio0_0010.png
s106_tx13,106,13,0.001,44,0.04458054429200638,7.09705025747001,4.168221231527798,0.36143779999929393,kriging_results_of_train\s106_tx13\map106_tx13_ratio0_0010.png
s106_tx16,106,16,0.001,44,0.03789981889877825,7.535328497189897,4.790423637591162,0.3327224999993632,kriging_results_of_train\s106_tx16\map106_tx16_ratio0_0010.png
s106_tx24,106,24,0.001,44,0.05457257985524008,6.916711942429028,4.075155970861801,0.3101292999999714,kriging_results_of_train\s106_tx24\map106_tx24_ratio0_0010.png
s106_tx25,106,25,0.001,44,0.03434096959343004,7.574808673973875,4.700005739755284,0.3289966000002096,kriging_results_of_train\s106_tx25\map106_tx25_ratio0_0010.png
s106_tx28,106,28,0.001,44,0.03497365312093285,7.395433697405318,4.743385637278322,0.3420191999994131,kriging_results_of_train\s106_tx28\map106_tx28_ratio0_0010.png
s106_tx30,106,30,0.001,44,0.03533998960168536,6.924793709796929,4.16517529579529,0.35088230000019394,kriging_results_of_train\s106_tx30\map106_tx30_ratio0_0010.png
s106_tx31,106,31,0.001,44,0.033547543268412236,7.371836639391454,4.743978264487645,0.33021350000035454,kriging_results_of_train\s106_tx31\map106_tx31_ratio0_0010.png
s106_tx41,106,41,0.001,44,0.03578745550616125,7.386777596881876,5.005981103656255,0.3168962999998257,kriging_results_of_train\s106_tx41\map106_tx41_ratio0_0010.png
s106_tx46,106,46,0.001,44,0.029749166400821578,7.110867566277304,4.352130433277623,0.32513529999960156,kriging_results_of_train\s106_tx46\map106_tx46_ratio0_0010.png
s106_tx53,106,53,0.001,44,0.04517376195104569,7.117955491897284,4.363761937013167,0.33444520000011835,kriging_results_of_train\s106_tx53\map106_tx53_ratio0_0010.png
s106_tx58,106,58,0.001,44,0.03128371181121006,7.270300528015554,4.531927664804529,0.31528570000045875,kriging_results_of_train\s106_tx58\map106_tx58_ratio0_0010.png
s106_tx60,106,60,0.001,44,0.04216264578243089,7.532278870377368,4.674126822192163,0.34294799999952374,kriging_results_of_train\s106_tx60\map106_tx60_ratio0_0010.png
s106_tx65,106,65,0.001,44,0.034524030994856306,7.2091225787558635,4.4014219435261825,0.3482974999997168,kriging_results_of_train\s106_tx65\map106_tx65_ratio0_0010.png
s106_tx67,106,67,0.001,44,0.033362631587111696,7.637302398769958,4.838899127224417,0.33677499999976135,kriging_results_of_train\s106_tx67\map106_tx67_ratio0_0010.png
s106_tx73,106,73,0.001,44,0.029171157212149405,7.1973975140764415,4.320213308994645,0.34835689999999886,kriging_results_of_train\s106_tx73\map106_tx73_ratio0_0010.png
s106_tx78,106,78,0.001,44,0.03450977964629636,7.031125095361009,4.4539836209544,0.3450038000000859,kriging_results_of_train\s106_tx78\map106_tx78_ratio0_0010.png
s109_tx00,109,0,0.001,52,0.028815408403537243,6.466467986073097,4.281606712169902,0.41945269999996526,kriging_results_of_train\s109_tx00\map109_tx0_ratio0_0010.png
s109_tx06,109,6,0.001,52,0.03137770671463253,6.495547672295464,4.286861928432099,0.4175420000001395,kriging_results_of_train\s109_tx06\map109_tx6_ratio0_0010.png
s109_tx07,109,7,0.001,52,0.02994619481454275,6.453712867961384,4.1659894759417835,0.40421169999990525,kriging_results_of_train\s109_tx07\map109_tx7_ratio0_0010.png
s109_tx12,109,12,0.001,52,0.03160116676677302,6.679155627895253,4.412558877287097,0.40873759999976755,kriging_results_of_train\s109_tx12\map109_tx12_ratio0_0010.png
s109_tx17,109,17,0.001,52,0.0308755198268613,5.858955396988296,3.7853238165175394,0.41586180000012973,kriging_results_of_train\s109_tx17\map109_tx17_ratio0_0010.png
s109_tx21,109,21,0.001,52,0.03041558468999729,6.255484115846749,4.120572759375913,0.4257536999994045,kriging_results_of_train\s109_tx21\map109_tx21_ratio0_0010.png
s109_tx22,109,22,0.001,52,0.03085214496274805,6.749700637015351,4.452503045055199,0.4254543000006379,kriging_results_of_train\s109_tx22\map109_tx22_ratio0_0010.png
s109_tx29,109,29,0.001,52,0.0499062256253735,7.079752385883984,4.4299041250374875,0.4514595000000554,kriging_results_of_train\s109_tx29\map109_tx29_ratio0_0010.png
s109_tx34,109,34,0.001,52,0.0444359008906763,7.131694737979169,4.527010268532606,0.4143752999998469,kriging_results_of_train\s109_tx34\map109_tx34_ratio0_0010.png
s109_tx37,109,37,0.001,52,0.0268415096730137,5.861442922861624,3.583553430499918,0.4471456000001126,kriging_results_of_train\s109_tx37\map109_tx37_ratio0_0010.png
s109_tx38,109,38,0.001,52,0.02577360233651409,5.433044885163345,3.550536387839257,0.4311242999992828,kriging_results_of_train\s109_tx38\map109_tx38_ratio0_0010.png
s109_tx47,109,47,0.001,52,0.03170015131864858,6.976379581381505,4.6973640783526855,0.4299678999996104,kriging_results_of_train\s109_tx47\map109_tx47_ratio0_0010.png
s109_tx52,109,52,0.001,52,0.04273392518116486,6.968960778025602,4.522758974761538,0.43727510000007896,kriging_results_of_train\s109_tx52\map109_tx52_ratio0_0010.png
s109_tx56,109,56,0.001,52,0.045301909421597855,7.166780339322298,4.872960231161576,0.4068287000000055,kriging_results_of_train\s109_tx56\map109_tx56_ratio0_0010.png
s109_tx57,109,57,0.001,52,0.05013992026074184,7.128364033141529,4.4437863857043505,0.42497259999981907,kriging_results_of_train\s109_tx57\map109_tx57_ratio0_0010.png
s109_tx65,109,65,0.001,52,0.030482652263502923,6.9100084924386005,4.566407735479998,0.42888789999960863,kriging_results_of_train\s109_tx65\map109_tx65_ratio0_0010.png
